	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
0	average	0-split-dev	0	bertflota-3	0.5490605427974948	36	192	24	227
1	average	1-split-all	0	bertflota-3	0.38461538461538464	0	72	0	45
2	average	2-split-all	0	bertflota-3	0.4016393442622951	67	202	17	80
3	average	ALL	0	bertflota-3	0.530827563468513	554	2479	367	2666
4	average	SAME	0	bertflota-3	0.5296930045294413	553	1502	367	1552
5	average	DIFF	0	bertflota-3	0.5329827915869981	1	977	0	1114
6	average	1-split-SAME	0	bertflota-3		[]	[]	[]	[]
7	average	1-split-DIFF	0	bertflota-3	0.38461538461538464	0	72	0	45
8	average	2-split-SAME	0	bertflota-3	0.39416058394160586	66	149	17	42
9	average	2-split-DIFF	0	bertflota-3	0.42391304347826086	1	53	0	38
10	average	0-split-dev-SAME	0	bertflota-3	0.5480769230769231	36	117	24	135
11	average	0-split-dev-DIFF	0	bertflota-3	0.5508982035928144	0	75	0	92
12	average	1-split-bal	0	bertflota-3	0.5	0	45	0	45
13	average	2-split-bal	0	bertflota-3	0.5360824742268041	24	73	17	80
14	average	0-split-dev	1	bertflota-3	0.534446764091858	134	94	129	122
15	average	1-split-all	1	bertflota-3	0.38461538461538464	0	72	0	45
16	average	2-split-all	1	bertflota-3	0.7021857923497268	225	44	65	32
17	average	ALL	1	bertflota-3	0.5636333663039894	1848	1185	1462	1571
18	average	SAME	1	bertflota-3	0.5790135883241067	1835	220	1453	466
19	average	DIFF	1	bertflota-3	0.5344168260038241	13	965	9	1105
20	average	1-split-SAME	1	bertflota-3		[]	[]	[]	[]
21	average	1-split-DIFF	1	bertflota-3	0.38461538461538464	0	72	0	45
22	average	2-split-SAME	1	bertflota-3	0.7846715328467153	213	2	57	2
23	average	2-split-DIFF	1	bertflota-3	0.45652173913043476	12	42	8	30
24	average	0-split-dev-SAME	1	bertflota-3	0.5256410256410257	134	19	129	30
25	average	0-split-dev-DIFF	1	bertflota-3	0.5508982035928144	0	75	0	92
26	average	1-split-bal	1	bertflota-3	0.5	0	45	0	45
27	average	2-split-bal	1	bertflota-3	0.5876288659793815	82	15	65	32
28	average	0-split-dev	2	bertflota-3	0.5657620041753654	136	92	116	135
29	average	1-split-all	2	bertflota-3	0.38461538461538464	0	72	0	45
30	average	2-split-all	2	bertflota-3	0.73224043715847	240	29	69	28
31	average	ALL	2	bertflota-3	0.5886910649521926	1843	1190	1305	1728
32	average	SAME	2	bertflota-3	0.6102164066431807	1794	261	1288	631
33	average	DIFF	2	bertflota-3	0.5478011472275335	49	929	17	1097
34	average	1-split-SAME	2	bertflota-3		[]	[]	[]	[]
35	average	1-split-DIFF	2	bertflota-3	0.38461538461538464	0	72	0	45
36	average	2-split-SAME	2	bertflota-3	0.7883211678832117	215	0	58	1
37	average	2-split-DIFF	2	bertflota-3	0.5652173913043478	25	29	11	27
38	average	0-split-dev-SAME	2	bertflota-3	0.5673076923076923	134	19	116	43
39	average	0-split-dev-DIFF	2	bertflota-3	0.562874251497006	2	73	0	92
40	average	1-split-bal	2	bertflota-3	0.5	0	45	0	45
41	average	2-split-bal	2	bertflota-3	0.6030927835051546	89	8	69	28
42	average	0-split-dev	3	bertflota-3	0.6200417536534447	139	89	93	158
43	average	1-split-all	3	bertflota-3	0.38461538461538464	0	72	0	45
44	average	2-split-all	3	bertflota-3	0.7240437158469946	244	25	76	21
45	average	ALL	3	bertflota-3	0.621496867787669	1848	1185	1111	1922
46	average	SAME	3	bertflota-3	0.6467035732259688	1704	351	1053	866
47	average	DIFF	3	bertflota-3	0.5736137667304015	144	834	58	1056
48	average	1-split-SAME	3	bertflota-3		[]	[]	[]	[]
49	average	1-split-DIFF	3	bertflota-3	0.38461538461538464	0	72	0	45
50	average	2-split-SAME	3	bertflota-3	0.7883211678832117	215	0	58	1
51	average	2-split-DIFF	3	bertflota-3	0.532608695652174	29	25	18	20
52	average	0-split-dev-SAME	3	bertflota-3	0.6410256410256411	133	20	92	67
53	average	0-split-dev-DIFF	3	bertflota-3	0.5808383233532934	6	69	1	91
54	average	1-split-bal	3	bertflota-3	0.5	0	45	0	45
55	average	2-split-bal	3	bertflota-3	0.5670103092783505	89	8	76	21
56	average	0-split-dev	4	bertflota-3	0.6409185803757829	146	82	90	161
57	average	1-split-all	4	bertflota-3	0.4017094017094017	2	70	0	45
58	average	2-split-all	4	bertflota-3	0.726775956284153	247	22	78	19
59	average	ALL	4	bertflota-3	0.6432575008242664	1889	1144	1020	2013
60	average	SAME	4	bertflota-3	0.6670860593860091	1658	397	926	993
61	average	DIFF	4	bertflota-3	0.5979923518164436	231	747	94	1020
62	average	1-split-SAME	4	bertflota-3		[]	[]	[]	[]
63	average	1-split-DIFF	4	bertflota-3	0.4017094017094017	2	70	0	45
64	average	2-split-SAME	4	bertflota-3	0.7883211678832117	215	0	58	1
65	average	2-split-DIFF	4	bertflota-3	0.5434782608695652	32	22	20	18
66	average	0-split-dev-SAME	4	bertflota-3	0.6538461538461539	131	22	86	73
67	average	0-split-dev-DIFF	4	bertflota-3	0.6167664670658682	15	60	4	88
68	average	1-split-bal	4	bertflota-3	0.5222222222222223	2	43	0	45
69	average	2-split-bal	4	bertflota-3	0.5618556701030928	90	7	78	19
70	average	0-split-dev	5	bertflota-3	0.6701461377870563	154	74	84	167
71	average	1-split-all	5	bertflota-3	0.452991452991453	10	62	2	43
72	average	2-split-all	5	bertflota-3	0.73224043715847	251	18	80	17
73	average	ALL	5	bertflota-3	0.6669963732278272	1983	1050	970	2063
74	average	SAME	5	bertflota-3	0.6829391041771515	1640	415	845	1074
75	average	DIFF	5	bertflota-3	0.6367112810707457	343	635	125	989
76	average	1-split-SAME	5	bertflota-3		[]	[]	[]	[]
77	average	1-split-DIFF	5	bertflota-3	0.452991452991453	10	62	2	43
78	average	2-split-SAME	5	bertflota-3	0.7883211678832117	215	0	58	1
79	average	2-split-DIFF	5	bertflota-3	0.5652173913043478	36	18	22	16
80	average	0-split-dev-SAME	5	bertflota-3	0.6858974358974359	127	26	72	87
81	average	0-split-dev-DIFF	5	bertflota-3	0.6407185628742516	27	48	12	80
82	average	1-split-bal	5	bertflota-3	0.5222222222222223	4	41	2	43
83	average	2-split-bal	5	bertflota-3	0.5670103092783505	93	4	80	17
84	average	0-split-dev	6	bertflota-3	0.6743215031315241	160	68	88	163
85	average	1-split-all	6	bertflota-3	0.4700854700854701	14	58	4	41
86	average	2-split-all	6	bertflota-3	0.73224043715847	253	16	82	15
87	average	ALL	6	bertflota-3	0.6763930102209034	2011	1022	941	2092
88	average	SAME	6	bertflota-3	0.6874685455460493	1619	436	806	1113
89	average	DIFF	6	bertflota-3	0.6553537284894837	392	586	135	979
90	average	1-split-SAME	6	bertflota-3		[]	[]	[]	[]
91	average	1-split-DIFF	6	bertflota-3	0.4700854700854701	14	58	4	41
92	average	2-split-SAME	6	bertflota-3	0.7846715328467153	215	0	59	0
93	average	2-split-DIFF	6	bertflota-3	0.5760869565217391	38	16	23	15
94	average	0-split-dev-SAME	6	bertflota-3	0.6762820512820513	125	28	73	86
95	average	0-split-dev-DIFF	6	bertflota-3	0.6706586826347305	35	40	15	77
96	average	1-split-bal	6	bertflota-3	0.5444444444444444	8	37	4	41
97	average	2-split-bal	6	bertflota-3	0.5618556701030928	94	3	82	15
98	average	0-split-dev	7	bertflota-3	0.6805845511482255	158	70	83	168
99	average	1-split-all	7	bertflota-3	0.5128205128205128	20	52	5	40
100	average	2-split-all	7	bertflota-3	0.7377049180327869	255	14	82	15
101	average	ALL	7	bertflota-3	0.680844048796571	2021	1012	924	2109
102	average	SAME	7	bertflota-3	0.6899849018621037	1608	447	785	1134
103	average	DIFF	7	bertflota-3	0.6634799235181644	413	565	139	975
104	average	1-split-SAME	7	bertflota-3		[]	[]	[]	[]
105	average	1-split-DIFF	7	bertflota-3	0.5128205128205128	20	52	5	40
106	average	2-split-SAME	7	bertflota-3	0.7883211678832117	215	0	58	1
107	average	2-split-DIFF	7	bertflota-3	0.5869565217391305	40	14	24	14
108	average	0-split-dev-SAME	7	bertflota-3	0.6923076923076923	123	30	66	93
109	average	0-split-dev-DIFF	7	bertflota-3	0.6586826347305389	35	40	17	75
110	average	1-split-bal	7	bertflota-3	0.5777777777777777	12	33	5	40
111	average	2-split-bal	7	bertflota-3	0.5618556701030928	94	3	82	15
112	average	0-split-dev	8	bertflota-3	0.6784968684759917	159	69	85	166
113	average	1-split-all	8	bertflota-3	0.5470085470085471	28	44	9	36
114	average	2-split-all	8	bertflota-3	0.7349726775956285	254	15	82	15
115	average	ALL	8	bertflota-3	0.6859545004945599	2035	998	907	2126
116	average	SAME	8	bertflota-3	0.6967790639154504	1601	454	751	1168
117	average	DIFF	8	bertflota-3	0.6653919694072657	434	544	156	958
118	average	1-split-SAME	8	bertflota-3		[]	[]	[]	[]
119	average	1-split-DIFF	8	bertflota-3	0.5470085470085471	28	44	9	36
120	average	2-split-SAME	8	bertflota-3	0.7846715328467153	213	2	57	2
121	average	2-split-DIFF	8	bertflota-3	0.5869565217391305	41	13	25	13
122	average	0-split-dev-SAME	8	bertflota-3	0.6891025641025641	121	32	65	94
123	average	0-split-dev-DIFF	8	bertflota-3	0.6586826347305389	38	37	20	72
124	average	1-split-bal	8	bertflota-3	0.5777777777777777	16	29	9	36
125	average	2-split-bal	8	bertflota-3	0.5567010309278351	93	4	82	15
126	average	0-split-dev	9	bertflota-3	0.6868475991649269	169	59	91	160
127	average	1-split-all	9	bertflota-3	0.5897435897435898	32	40	8	37
128	average	2-split-all	9	bertflota-3	0.726775956284153	253	16	84	13
129	average	ALL	9	bertflota-3	0.6839762611275965	2025	1008	909	2124
130	average	SAME	9	bertflota-3	0.6942627075993961	1601	454	761	1158
131	average	DIFF	9	bertflota-3	0.6644359464627151	424	554	148	966
132	average	1-split-SAME	9	bertflota-3		[]	[]	[]	[]
133	average	1-split-DIFF	9	bertflota-3	0.5897435897435898	32	40	8	37
134	average	2-split-SAME	9	bertflota-3	0.7846715328467153	212	3	56	3
135	average	2-split-DIFF	9	bertflota-3	0.5543478260869565	41	13	28	10
136	average	0-split-dev-SAME	9	bertflota-3	0.6923076923076923	126	27	69	90
137	average	0-split-dev-DIFF	9	bertflota-3	0.6766467065868264	43	32	22	70
138	average	1-split-bal	9	bertflota-3	0.6222222222222222	19	26	8	37
139	average	2-split-bal	9	bertflota-3	0.5463917525773195	93	4	84	13
140	average	0-split-dev	10	bertflota-3	0.6868475991649269	172	56	94	157
141	average	1-split-all	10	bertflota-3	0.5726495726495726	34	38	12	33
142	average	2-split-all	10	bertflota-3	0.7240437158469946	248	21	80	17
143	average	ALL	10	bertflota-3	0.6880975931421035	2056	977	915	2118
144	average	SAME	10	bertflota-3	0.7005535983895319	1615	440	750	1169
145	average	DIFF	10	bertflota-3	0.6644359464627151	441	537	165	949
146	average	1-split-SAME	10	bertflota-3		[]	[]	[]	[]
147	average	1-split-DIFF	10	bertflota-3	0.5726495726495726	34	38	12	33
148	average	2-split-SAME	10	bertflota-3	0.791970802919708	211	4	53	6
149	average	2-split-DIFF	10	bertflota-3	0.5217391304347826	37	17	27	11
150	average	0-split-dev-SAME	10	bertflota-3	0.6955128205128205	129	24	71	88
151	average	0-split-dev-DIFF	10	bertflota-3	0.6706586826347305	43	32	23	69
152	average	1-split-bal	10	bertflota-3	0.5888888888888889	20	25	12	33
153	average	2-split-bal	10	bertflota-3	0.5515463917525774	90	7	80	17
154	average	0-split-dev	11	bertflota-3	0.6534446764091858	160	68	98	153
155	average	1-split-all	11	bertflota-3	0.5811965811965812	33	39	10	35
156	average	2-split-all	11	bertflota-3	0.7240437158469946	246	23	78	19
157	average	ALL	11	bertflota-3	0.6752390372568414	2028	1005	965	2068
158	average	SAME	11	bertflota-3	0.6847005535983895	1601	454	799	1120
159	average	DIFF	11	bertflota-3	0.6572657743785851	427	551	166	948
160	average	1-split-SAME	11	bertflota-3		[]	[]	[]	[]
161	average	1-split-DIFF	11	bertflota-3	0.5811965811965812	33	39	10	35
162	average	2-split-SAME	11	bertflota-3	0.7992700729927007	210	5	50	9
163	average	2-split-DIFF	11	bertflota-3	0.5	36	18	28	10
164	average	0-split-dev-SAME	11	bertflota-3	0.6634615384615384	122	31	74	85
165	average	0-split-dev-DIFF	11	bertflota-3	0.6347305389221557	38	37	24	68
166	average	1-split-bal	11	bertflota-3	0.6	19	26	10	35
167	average	2-split-bal	11	bertflota-3	0.5567010309278351	89	8	78	19
168	average	0-split-dev	12	bertflota-3	0.6534446764091858	150	78	88	163
169	average	1-split-all	12	bertflota-3	0.5982905982905983	32	40	7	38
170	average	2-split-all	12	bertflota-3	0.7185792349726776	240	29	74	23
171	average	ALL	12	bertflota-3	0.6785361028684471	1976	1057	893	2140
172	average	SAME	12	bertflota-3	0.6897332662304982	1607	448	785	1134
173	average	DIFF	12	bertflota-3	0.6572657743785851	369	609	108	1006
174	average	1-split-SAME	12	bertflota-3		[]	[]	[]	[]
175	average	1-split-DIFF	12	bertflota-3	0.5982905982905983	32	40	7	38
176	average	2-split-SAME	12	bertflota-3	0.7846715328467153	206	9	50	9
177	average	2-split-DIFF	12	bertflota-3	0.5217391304347826	34	20	24	14
